id,player_fifa_api_id,player_api_id,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,label
1623,209453,173993,03/07/2015 00:00,65,66,1,2,2,61,60,63,64,56,64,59,64,58,57,77,79,75,56,71,63,76,87,68,45,75,58,67,64,48,62,61,62,14,7,5,9,10,AT
1833,163828,24952,02/06/2016 00:00,70,70,1,2,0,56,75,66,65,70,62,66,53,53,69,76,74,70,73,77,66,75,70,60,62,47,34,74,66,79,19,21,14,8,7,6,6,16,AT
2064,176941,31916,10/03/2016 00:00,71,71,1,2,0,47,75,72,65,64,67,45,43,49,71,62,66,65,69,67,75,69,74,80,64,61,18,70,55,80,24,23,21,11,11,11,11,9,AT
656,202330,201915,21/04/2016 00:00,73,76,0,2,1,67,80,66,69,69,68,53,49,63,61,90,91,87,73,81,70,79,78,58,63,51,43,78,66,63,43,44,46,12,14,8,7,9,AT
338,2335,23499,02/10/2015 00:00,65,65,1,2,1,49,67,78,68,56,49,43,42,39,65,51,53,44,67,52,69,70,53,82,47,75,24,67,68,73,23,20,19,12,13,10,10,9,AT
128965,162240,41008,08/11/2013 00:00,81,84,0,2,2,64,68,67,83,76,87,62,54,74,86,85,79,85,76,76,84,77,82,86,73,67,70,73,78,66,60,75,62,15,13,10,15,13,AT
128803,189849,160211,03/12/2015 00:00,75,76,1,2,2,70,75,66,60,70,80,68,70,55,75,86,87,85,73,78,81,82,77,75,67,74,21,75,68,68,16,29,31,15,14,8,8,15,AT
130255,193195,166557,24/03/2016 00:00,66,72,1,2,2,62,63,65,68,51,69,50,53,65,63,67,69,74,66,57,58,70,77,68,53,56,32,68,67,59,18,23,26,14,15,6,10,12,AT
6216,1075,30727,30/08/2009 00:00,86,90,1,1,0,83,88,64,92,87,92,88,95,80,94,80,78,66,86,66,87,62,71,68,88,70,88,90,90,91,26,36,32,11,21,80,21,21,AT
4333,164980,24024,22/02/2007 00:00,69,74,0,1,1,72,35,43,69,47,73,54,44,67,67,72,59,64,56,57,66,66,67,43,56,46,51,66,61,61,63,56,34,8,21,67,21,21,AT
524,187048,41093,30/08/2008 00:00,53,74,1,1,1,41,50,48,62,62,54,65,43,53,55,62,61,69,47,70,56,62,45,41,47,36,44,47,68,48,32,26,57,2,21,53,21,21,AT
270,186561,75489,10/03/2016 00:00,82,85,1,2,2,75,75,58,83,79,81,70,70,80,82,69,69,77,82,75,81,65,92,69,75,74,69,83,81,75,62,74,68,6,11,5,10,8,AT
93617,177036,33065,16/08/2013 00:00,70,70,1,1,2,54,71,69,71,64,67,45,33,60,67,51,68,54,71,60,79,63,78,90,64,87,68,70,65,61,55,69,59,4,7,8,8,7,AT
47529,194956,184590,12/05/2016 00:00,69,69,1,1,0,66,67,58,61,67,72,68,69,58,70,69,76,79,69,70,72,65,50,72,70,61,43,69,65,61,31,36,34,9,9,8,11,16,AT
93534,165153,26166,24/12/2015 00:00,86,86,1,1,0,75,88,78,86,77,82,79,73,47,86,82,84,75,83,60,83,70,75,78,78,65,22,87,83,82,13,15,12,13,11,5,5,7,AT
47487,219728,477493,16/10/2015 00:00,73,79,0,2,1,76,69,64,73,75,72,73,34,71,74,74,78,57,69,64,72,71,68,81,67,67,35,80,68,69,32,33,25,13,16,11,6,14,AT
47482,161941,38060,30/08/2009 00:00,73,76,1,2,1,71,43,47,65,56,72,39,69,67,68,89,88,79,80,66,60,61,73,62,72,77,61,68,66,60,24,22,47,3,21,67,21,21,AT
555,193953,173955,21/04/2016 00:00,72,73,0,1,1,69,72,64,69,63,76,69,49,64,73,85,84,78,65,74,76,71,72,70,70,68,26,71,74,52,20,29,27,11,16,13,12,16,AT
365,187939,120919,22/05/2015 00:00,75,75,1,1,1,69,79,51,73,76,82,68,62,67,77,84,85,80,70,71,75,64,79,55,71,38,39,69,68,69,25,26,23,6,9,7,14,9,AT
416,178063,42664,04/02/2016 00:00,67,67,1,1,1,65,61,65,68,70,70,64,63,53,71,71,77,67,69,61,69,64,61,79,69,61,25,67,50,68,29,32,31,10,6,11,6,7,AT
502,187048,41093,21/01/2016 00:00,70,70,1,1,1,62,63,60,77,62,75,66,49,74,75,73,69,76,68,69,66,51,61,63,61,56,64,57,72,48,67,64,61,8,14,15,11,9,AT
47647,180930,15403,21/04/2016 00:00,80,80,1,1,1,63,82,80,72,74,74,65,54,59,78,68,65,58,78,42,86,66,72,80,75,51,50,84,70,74,11,28,16,9,11,13,15,15,AT
93552,165153,26166,30/08/2009 00:00,85,91,1,1,1,78,90,81,85,77,88,70,73,47,89,90,85,81,81,75,86,74,72,80,77,66,74,81,78,80,32,38,12,2,21,47,21,21,AT
30981,186935,114688,22/02/2012 00:00,76,80,1,2,2,68,70,66,78,70,74,67,69,77,79,74,75,76,77,69,81,65,90,76,76,69,69,75,81,59,65,60,49,14,12,10,12,12,AT
1744,165740,24159,30/08/2011 00:00,82,85,0,2,1,83,77,43,77,66,86,76,75,71,84,87,87,84,76,81,77,54,76,64,76,61,47,80,80,65,38,32,33,8,5,13,13,9,DF
1967,179710,69249,12/05/2016 00:00,66,66,0,2,1,72,53,60,62,48,62,56,37,58,61,72,70,58,70,75,59,69,79,57,52,74,54,58,57,59,67,62,65,10,12,12,14,10,DF
1927,193768,170593,02/06/2016 00:00,73,77,1,2,1,73,43,58,71,43,70,73,52,67,71,79,78,76,73,73,69,71,75,70,62,66,73,63,69,50,73,75,74,6,15,12,6,14,DF
2036,211185,306507,03/03/2016 00:00,64,68,1,2,1,65,36,56,64,42,62,59,30,59,61,83,80,58,54,74,66,59,64,57,51,58,52,49,44,44,66,64,65,13,12,11,14,13,DF
2119,190885,160447,12/11/2015 00:00,70,74,1,2,1,68,43,56,69,40,68,59,66,60,71,78,74,75,70,69,67,53,72,68,64,62,69,54,58,48,71,70,68,8,9,15,9,6,DF
12,189615,155782,25/09/2015 00:00,74,78,0,2,1,79,51,57,70,29,71,68,69,68,70,80,78,78,67,90,71,84,79,56,58,67,66,58,65,59,76,75,78,14,7,9,9,12,DF
460,210504,306735,21/03/2014 00:00,56,62,1,2,1,54,37,48,62,31,56,35,39,56,58,69,62,56,55,59,56,71,71,71,50,51,48,56,55,45,56,61,53,10,7,8,11,10,DF
579,161999,39562,21/04/2016 00:00,75,75,1,2,1,75,50,66,78,65,71,68,57,74,74,79,79,79,76,72,71,76,69,75,64,73,77,68,57,50,70,75,74,12,15,10,11,14,DF
129457,45362,39625,05/05/2016 00:00,66,66,0,2,2,73,55,52,67,62,66,69,61,66,66,65,62,68,67,72,69,68,71,61,65,64,69,66,65,63,63,67,65,8,6,16,8,15,DF
129871,177604,38521,11/02/2016 00:00,80,80,0,2,2,81,39,67,77,56,74,74,59,61,77,79,75,75,79,70,71,75,85,66,61,74,82,61,66,61,83,84,82,7,5,9,3,5,DF
130115,158375,67958,28/04/2016 00:00,73,73,0,2,2,72,53,63,74,61,74,68,65,73,77,80,78,82,75,83,62,87,88,62,67,72,79,69,75,66,74,76,72,10,7,7,11,15,DF
128850,168630,26354,23/10/2015 00:00,71,71,1,2,2,61,39,63,67,52,66,53,47,63,69,77,75,84,71,84,66,74,74,59,59,78,72,62,61,54,74,70,75,14,16,7,11,12,DF
158762,180216,77690,09/01/2015 00:00,80,84,1,2,2,81,66,67,77,64,77,43,36,69,78,79,83,76,81,74,75,72,90,73,66,78,76,76,70,52,80,82,80,5,15,10,13,7,DF
130308,189403,139673,09/06/2016 00:00,71,75,0,0,2,44,30,72,41,30,26,41,20,40,39,52,55,46,67,48,61,70,60,79,19,86,71,23,27,35,72,73,75,11,6,14,9,11,DF
129931,110297,38025,11/04/2014 00:00,72,72,0,1,2,76,50,52,69,43,60,60,56,67,75,74,76,74,73,85,68,64,84,70,48,68,77,63,58,56,68,70,74,6,8,11,11,12,DF
130215,52682,38507,22/02/2011 00:00,67,74,0,1,2,72,55,46,67,56,69,71,59,62,70,72,78,63,58,62,60,54,66,74,56,66,57,64,57,58,44,61,54,5,9,8,9,15,DF
158730,207993,304345,03/03/2016 00:00,75,80,0,1,2,64,31,70,68,31,62,42,25,48,68,75,84,54,76,55,82,75,79,87,49,91,64,58,56,44,77,83,82,15,9,16,7,9,DF
